Applicant_Income,Coapplicant_Income,Age,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Education_Level,Loan_Approved,Employment_Status_Salaried,Employment_Status_Self-employed,Employment_Status_Unemployed,Marital_Status_Single,Loan_Purpose_Car,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Personal,Property_Area_Semiurban,Property_Area_Urban,Gender_Male,Employer_Category_Government,Employer_Category_MNC,Employer_Category_Private,Employer_Category_Unemployed,DTI_Ratio_sq,Credit_Score_sq
5890.0,8041.0,31.0,0.0,603.0,0.0,0.11,11906.0,8150.0,29287.0,12.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0121,363609.0
10838.0,341.0,33.0,1.4747368421052631,757.0,2.0,0.46,7234.0,24802.79263157895,13391.0,84.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2116,573049.0
16502.0,2074.0,31.0,2.0,614.0,3.0,0.12,6610.0,24059.0,5861.0,48.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0144,376996.0
12627.0,5082.4557894736845,51.0,2.0,689.0,3.0,0.4,10524.0,34525.0,35364.0,60.0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.16000000000000003,474721.0
10792.0,645.0,48.0,1.0,573.0,4.0,0.37,16984.0,18193.0,17863.0,24.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1369,328329.0
12555.0,4263.0,26.0,1.0,583.0,4.0,0.58,13411.0,43967.0,32499.0,48.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3364,339889.0
12253.0,8801.0,36.0,3.0,602.0,1.0,0.34,9180.0,27801.0,28794.0,24.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11560000000000002,362404.0
10433.0,6136.0,24.0,0.0,798.0,1.0,0.13,15225.0,49063.0,8919.0,36.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.016900000000000002,636804.0
12233.0,8646.0,55.0,1.0,685.0,3.0,0.38,10073.0,26246.0,21282.0,24.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1444,469225.0
13016.0,9900.0,46.0,3.0,567.0,0.0,0.52,4483.0,12807.0,20522.825263157894,48.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27040000000000003,321489.0
4612.0,2969.0,32.0,1.0,606.0,2.0,0.6,5901.0,17535.0,6624.0,36.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,367236.0
17787.0,3028.0,31.0,2.0,661.0,1.0,0.32,9940.452631578948,5492.0,34706.0,48.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1024,436921.0
19159.0,7643.0,57.0,1.0,554.0,1.0,0.26,18138.0,31357.0,9176.0,72.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06760000000000001,306916.0
14206.0,2681.0,45.0,0.0,703.0,0.0,0.55,18848.0,6302.0,34529.0,48.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30250000000000005,494209.0
10852.571578947369,3629.0,38.0,1.0,707.0,0.0,0.2,10415.0,32314.0,13941.0,36.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04000000000000001,499849.0
16541.0,4225.0,39.0,0.0,731.0,4.0,0.34726315789473683,4482.0,24802.79263157895,2669.0,48.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.12059170083102493,534361.0
5152.0,3067.0,43.0,2.0,562.0,2.0,0.34726315789473683,9686.0,4747.0,21246.0,48.0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.12059170083102493,315844.0
3585.0,5941.0,58.0,0.0,632.0,1.9505263157894737,0.12,7400.0,47006.0,21323.0,12.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0144,399424.0
5943.0,1386.0,38.0,1.0,578.0,1.0,0.27,6806.0,41170.0,34894.0,12.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0729,334084.0
3021.0,2866.0,46.0,3.0,552.0,1.0,0.23,10516.0,10686.0,7021.0,12.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0529,304704.0
13653.0,4788.0,26.0,2.0,639.0,1.9505263157894737,0.44,7396.0,37449.0,37903.0,12.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1936,408321.0
12805.0,5490.0,24.0,1.0,653.0,0.0,0.57,7338.0,18891.0,9711.0,60.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.32489999999999997,426409.0
15417.0,4124.0,49.0,2.0,672.0,4.0,0.23,9950.0,36196.0,8904.0,12.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0529,451584.0
9989.0,8340.0,54.0,2.0,735.0,2.0,0.51,12500.0,29928.0,36051.0,36.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2601,540225.0
11692.0,3850.0,37.0,1.0,799.0,4.0,0.34726315789473683,11545.0,7494.0,21942.0,84.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12059170083102493,638401.0
14990.0,5415.0,36.0,1.0,625.0,1.0,0.37,5241.0,36723.0,25251.0,12.0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1369,390625.0
10852.571578947369,7679.0,22.0,3.0,679.0,4.0,0.14,4695.0,29877.0,26058.0,48.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.019600000000000003,461041.0
7675.0,6819.0,54.0,1.4747368421052631,752.0,1.0,0.57,11530.0,27981.0,36245.0,84.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.32489999999999997,565504.0
2161.0,9328.0,39.97157894736842,2.0,657.0,1.0,0.48,14312.0,14026.0,4093.0,12.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2304,431649.0
6297.0,8378.0,33.0,1.0,705.0,1.0,0.43,18972.0,20422.0,25918.0,84.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.18489999999999998,497025.0
2995.0,9442.0,28.0,0.0,631.0,1.0,0.51,14318.0,9244.0,8207.0,24.0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2601,398161.0
13534.0,1333.0,50.0,1.0,676.0336842105263,1.0,0.42,18166.0,33481.0,20522.825263157894,48.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.17639999999999997,457021.5421872576
9629.0,4150.0,52.0,2.0,778.0,3.0,0.58,19904.0,23644.0,27974.0,36.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3364,605284.0
3016.0,6766.0,56.0,1.0,763.0,4.0,0.46,11324.0,43848.0,29172.0,84.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2116,582169.0
10529.0,2711.0,50.0,3.0,753.0,3.0,0.56,3218.0,8521.0,33283.0,72.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31360000000000005,567009.0
19262.0,4853.0,21.0,0.0,551.0,3.0,0.36,4016.0,1746.0,39995.0,60.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1296,303601.0
11268.0,6212.0,59.0,1.0,676.0,0.0,0.16,2837.0,17591.0,14280.0,48.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0256,456976.0
14185.0,7479.0,37.0,3.0,778.0,0.0,0.36,16312.0,26718.0,37303.0,48.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1296,605284.0
8331.0,5408.0,40.0,2.0,684.0,0.0,0.16,7034.0,49936.0,28453.0,36.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0256,467856.0
10571.0,9977.0,44.0,1.0,575.0,2.0,0.4,9940.452631578948,2696.0,3913.0,24.0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16000000000000003,330625.0
9208.0,7715.0,42.0,2.0,767.0,1.9505263157894737,0.34,14379.0,12012.0,26765.0,12.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11560000000000002,588289.0
7276.0,8942.0,49.0,3.0,637.0,4.0,0.41,4239.0,14688.0,3340.0,48.0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.16809999999999997,405769.0
18448.0,1762.0,42.0,2.0,753.0,3.0,0.11,12128.0,23457.0,27179.0,24.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0121,567009.0
18216.0,7101.0,29.0,3.0,565.0,4.0,0.2,15856.0,24802.79263157895,28873.0,12.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04000000000000001,319225.0
10006.0,7674.0,39.97157894736842,3.0,700.0,0.0,0.35,9611.0,39895.0,39057.0,60.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.12249999999999998,490000.0
4568.0,6122.0,30.0,3.0,717.0,2.0,0.58,4150.0,29960.0,1597.0,36.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364,514089.0
4027.0,481.0,56.0,1.0,737.0,2.0,0.29,11109.0,36486.0,30119.0,36.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0841,543169.0
4695.0,153.0,57.0,2.0,622.0,3.0,0.31,1446.0,22159.0,16025.0,84.0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0961,386884.0
17422.0,7617.0,48.0,2.0,581.0,4.0,0.46,11936.0,7910.0,8145.0,84.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2116,337561.0
7258.0,1524.0,48.0,0.0,564.0,1.0,0.4,11036.0,2693.0,36670.0,24.0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.16000000000000003,318096.0
8736.0,2120.0,41.0,0.0,778.0,4.0,0.25,6468.0,49777.0,8694.0,72.0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0625,605284.0
10852.571578947369,2343.0,44.0,0.0,690.0,0.0,0.31,9940.452631578948,15858.0,5830.0,84.0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0961,476100.0
15986.0,5136.0,22.0,0.0,554.0,1.0,0.21,4175.0,28810.0,24930.0,48.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04409999999999999,306916.0
14666.0,5760.0,28.0,2.0,752.0,2.0,0.58,15390.0,20092.0,24752.0,60.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3364,565504.0
7892.0,1240.0,47.0,3.0,623.0,3.0,0.17,5080.0,23243.0,11489.0,48.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.028900000000000006,388129.0
5561.0,60.0,42.0,3.0,601.0,3.0,0.29,15471.0,48700.0,33692.0,36.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0841,361201.0
8184.0,9130.0,57.0,1.0,626.0,2.0,0.11,14893.0,24802.79263157895,16768.0,48.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0121,391876.0
10392.0,1639.0,47.0,3.0,718.0,0.0,0.21,17248.0,24802.79263157895,3160.0,12.0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04409999999999999,515524.0
15067.0,6185.0,49.0,2.0,730.0,2.0,0.49,16009.0,28555.0,21133.0,60.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24009999999999998,532900.0
17265.0,7970.0,23.0,2.0,659.0,0.0,0.2,6217.0,6398.0,36690.0,48.0,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04000000000000001,434281.0
4454.0,5082.4557894736845,33.0,1.4747368421052631,727.0,1.0,0.14,5672.0,7252.0,23870.0,12.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019600000000000003,528529.0
13837.0,4203.0,30.0,1.0,692.0,2.0,0.34,1502.0,11721.0,25496.0,24.0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11560000000000002,478864.0
16039.0,8363.0,56.0,0.0,655.0,0.0,0.1,1410.0,17939.0,37572.0,48.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.010000000000000002,429025.0
12965.0,9650.0,29.0,3.0,797.0,1.0,0.14,3770.0,11825.0,3368.0,60.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.019600000000000003,635209.0
11762.0,3549.0,47.0,2.0,676.0,2.0,0.5,10097.0,25251.0,37700.0,12.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,456976.0
7056.0,4197.0,54.0,1.4747368421052631,556.0,3.0,0.49,4001.0,36955.0,30203.0,48.0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24009999999999998,309136.0
16948.0,7009.0,21.0,0.0,589.0,2.0,0.56,19867.0,24802.79263157895,12552.0,24.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.31360000000000005,346921.0
10110.0,6667.0,52.0,2.0,705.0,4.0,0.53,598.0,36.0,6608.0,48.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.28090000000000004,497025.0
15773.0,2322.0,45.0,3.0,709.0,2.0,0.44,9940.452631578948,28412.0,23485.0,12.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1936,502681.0
10852.571578947369,5082.4557894736845,49.0,1.0,676.0336842105263,4.0,0.13,19425.0,18171.0,10862.0,48.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016900000000000002,457021.5421872576
2502.0,4090.0,27.0,2.0,692.0,1.0,0.49,6391.0,39051.0,39299.0,60.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24009999999999998,478864.0
8910.0,6960.0,23.0,3.0,789.0,2.0,0.52,16450.0,32761.0,11412.0,36.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27040000000000003,622521.0
14685.0,3004.0,40.0,2.0,777.0,1.0,0.5,14908.0,15202.0,22354.0,12.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,603729.0
2206.0,5136.0,40.0,0.0,634.0,1.0,0.35,11590.0,8060.0,7344.0,12.0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.12249999999999998,401956.0
19868.0,329.0,50.0,2.0,747.0,0.0,0.22,16279.0,8065.0,18993.0,12.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0484,558009.0
17934.0,3640.0,55.0,2.0,614.0,1.0,0.52,2750.0,29873.0,29682.0,12.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27040000000000003,376996.0
19247.0,7982.0,55.0,1.0,681.0,1.0,0.46,9916.0,36648.0,29415.0,48.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2116,463761.0
